size,fit_class,allowance,max_major_dia,min_major_dia,min,max_pitch,min_pitch,minor_dia
5/16-32 UNEF,3A,0,0.3125,0.3065,-,0.2922,0.2898,0.2753
5/16-36 UNS,2A,0.0009,0.3116,0.3061,-,0.2936,0.2905,0.2785
5/16-40 UNS,2A,0.0009,0.3116,0.3065,-,0.2954,0.2925,0.2818
5/16-48 UNS,2A,0.0008,0.3117,0.3072,-,0.2982,0.2955,0.2869
3/8-16 UNC,1A,0.0013,0.3737,0.3595,-,0.3331,0.3266,0.2992
3/8-16 UNC,2A,0.0013,0.3737,0.3643,0.3595,0.3331,0.3287,0.2992
3/8-16 UNC,3A,0,0.375,0.3656,-,0.3344,0.3311,0.3005
3/8-18 UNS,2A,0.0013,0.3737,0.365,-,0.3376,0.3333,0.3076
3/8-20 UN,2A,0.0012,0.3738,0.3657,-,0.3413,0.3372,0.3143
3/8-20 UN,3A,0,0.375,0.3669,-,0.3425,0.3394,0.3155
3/8-24 UNF,1A,0.0011,0.3739,0.3631,-,0.3468,0.3411,0.3243
3/8-24 UNF,2A,0.0011,0.3739,0.3667,-,0.3468,0.343,0.3243
3/8-24 UNF,3A,0,0.375,0.3678,-,0.3479,0.345,0.3254
3/8-27 UNS,2A,0.0011,0.3739,0.3672,-,0.3498,0.3462,0.3298
3/8-28 UN,2A,0.0011,0.3739,0.3674,-,0.3507,0.3471,0.3313
3/8-28 UN,3A,0,0.375,0.3685,-,0.3518,0.3491,0.3324
3/8-32 UNEF,2A,0.001,0.374,0.368,-,0.3537,0.3503,0.3368
3/8-32 UNEF,3A,0,0.375,0.369,-,0.3547,0.3522,0.3378
3/8-36 UNS,2A,0.001,0.374,0.3685,-,0.356,0.3528,0.3409
3/8-40 UNS,2A,0.0009,0.3741,0.369,-,0.3579,0.3548,0.3443
0.390-27 UNS,2A,0.0011,0.3889,0.3822,-,0.3648,0.3612,0.3448
7/16-14 UNC,1A,0.0014,0.4361,0.4206,-,0.3897,0.3826,0.3511
7/16-14 UNC,2A,0.0014,0.4361,0.4258,0.4206,0.3897,0.385,0.3511
7/16-14 UNC,3A,0,0.4375,0.4272,-,0.3911,0.3876,0.3525
7/16-16 UN,2A,0.0014,0.4361,0.4267,-,0.3955,0.3909,0.3616
7/16-16 UN,3A,0,0.4375,0.4281,-,0.3969,0.3935,0.363
7/16-18 UNS,2A,0.0013,0.4362,0.4275,-,0.4001,0.3958,0.3701
7/16-20 UNF,1A,0.0013,0.4362,0.424,-,0.4037,0.3975,0.3767
7/16-20 UNF,2A,0.0013,0.4362,0.4281,-,0.4037,0.3995,0.3767
7/16-20 UNF,3A,0,0.4375,0.4294,-,0.405,0.4019,0.378
7/16-24 UNS,2A,0.0011,0.4364,0.4292,-,0.4093,0.4055,0.3868
7/16-27 UNS,2A,0.0011,0.4364,0.4297,-,0.4123,0.4087,0.3923
7/16-28 UNEF,2A,0.0011,0.4364,0.4299,-,0.4132,0.4096,0.3838
7/16-28 UNEF,3A,0,0.4375,0.431,-,0.4143,0.4116,0.3949
7/16-32 UN,2A,0.001,0.4365,0.4305,-,0.4162,0.4128,0.3993
7/16-32 UN,3A,0,0.4375,0.4315,-,0.4172,0.4147,0.4003
1/2-12 UNS,2A,0.0016,0.4984,0.487,-,0.4443,0.4389,0.3992
1/2-12 UNS,3A,0,0.5,0.4886,-,0.4459,0.4419,0.4008
1/2-13 UNC,1A,0.0015,0.4985,0.4822,-,0.4485,0.4411,0.4069
1/2-13 UNC,2A,0.0015,0.4985,0.4876,0.4822,0.4485,0.4435,0.4069
1/2-13 UNC,3A,0,0.5,0.4891,-,0.45,0.4463,0.4084
1/2-14 UNS,2A,0.0015,0.4985,0.4882,-,0.4521,0.4471,0.4135
1/2-16 UN,2A,0,0.4986,0.4892,-,0.458,0.4533,0.4241
1/2-16 UN,3A,0,0.5,0.4906,-,0.4594,0.4559,0.4255
1/2-18 UNS,2A,0.0013,0.4987,0.49,-,0.4626,0.4582,0.4326
1/2-20 UNF,1A,0.0013,0.4987,0.4865,-,0.4662,0.4598,0.4392
1/2-20 UNF,2A,0.0013,0.4987,0.4906,-,0.4662,0.4619,0.4392
1/2-20 UNF,3A,0,0.5,0.4919,-,0.4675,0.4643,0.4405
1/2-24 UNS,2A,0.0012,0.4988,0.4916,-,0.4717,0.4678,0.4492
1/2-27 UNS,2A,0.0011,0.4989,0.4922,-,0.4748,0.4711,0.4548
1/2-28 UNEF,2A,0.0011,0.4989,0.4924,-,0.4757,0.472,0.4563
1/2-28 UNEF,3A,0,0.5,0.4935,-,0.4768,0.474,0.4574
1/2-32 UN,2A,0.001,0.499,0.493,-,0.4787,0.4752,0.4618
1/2-32 UN,3A,0,0.5,0.494,-,0.4797,0.4771,0.4628
9/16-12 UNC,1A,0.0016,0.5609,0.5437,-,0.5068,0.499,0.4617
9/16-12 UNC,2A,0.0016,0.5609,0.5495,0.5437,0.5068,0.5016,0.4617
9/16-12 UNC,3A,0,0.5625,0.5511,-,0.5084,0.5045,0.4633
9/16-14 UNS,2A,0.0015,0.561,0.5507,-,0.5146,0.5096,0.476
9/16-16 UN,2A,0.0014,0.5611,0.5517,-,0.5205,0.5158,0.4866
9/16-16 UN,3A,0,0.5625,0.5531,-,0.5219,0.5184,0.488
9/16-18 UNF,1A,0.0014,0.5611,0.548,-,0.525,0.5182,0.495
9/16-18 UNF,2A,0.0014,0.5611,0.5524,-,0.525,0.5205,0.495
9/16-18 UNF,3A,0,0.5625,0.5538,-,0.5264,0.523,0.4964
9/16-20 UN,2A,0.0013,0.5612,0.5531,-,0.5287,0.5245,0.5017
9/16-20 UN,3A,0,0.5625,0.5544,-,0.53,0.5268,0.503
9/16-24 UNEF,2A,0.0012,0.5613,0.5541,-,0.5342,0.5303,0.5117
9/16-24 UNEF,3A,0,0.5625,0.5553,-,0.5354,0.5325,0.5129
9/16-27 UNS,2A,0.0011,0.5614,0.5547,-,0.5373,0.5336,0.5173
9/16-28 UN,2A,0.0011,0.5614,0.5549,-,0.5382,0.5345,0.5188
9/16-28 UN,3A,0,0.5625,0.556,-,0.5393,0.5365,0.5199
9/16-32 UN,2A,0.001,0.5615,0.5555,-,0.5412,0.5377,0.5243
9/16-32 UN,3A,0,0.5625,0.5565,-,0.5422,0.5396,0.5253
5/8-11 UNC,1A,0.0016,0.6234,0.6052,-,0.5644,0.5561,0.5152
