size,fit_class,allowance,max_major_dia,min_major_dia,min,max_pitch,min_pitch,minor_dia
1 5/16-12 UN,2A,0.0017,1.3108,1.2994,-,1.2567,1.2509,1.2116
1 5/16-12 UN,3A,0,1.3125,1.3011,-,1.2584,1.2541,1.2133
1 5/16-16 UN,2A,0.0015,1.311,1.3016,-,1.2704,1.2653,1.2365
1 5/16-16 UN,3A,0,1.3125,1.3031,-,1.2719,1.2681,1.238
1 5/16-18 UNEF,2A,0.0015,1.311,1.3023,-,1.2749,1.27,1.2449
1 5/16-18 UNEF,3A,0,1.3125,1.3038,-,1.2764,1.2728,1.2464
1 5/16-20 UN,2A,0.0014,1.3111,1.303,-,1.2786,1.2739,1.2516
1 5/16-20 UN,3A,0,1.3125,1.3044,-,1.28,1.2765,1.253
1 5/16-28 UN,2A,0.0012,1.3113,1.3048,-,1.2881,1.284,1.2687
1 5/16-28 UN,3A,0,1.3125,1.306,-,1.2893,1.2862,1.2699
1 3/8-6 UNC,1A,0.0024,1.3726,1.3453,-,1.2643,1.2523,1.1742
1 3/8-6 UNC,2A,0.0024,1.3726,1.3544,1.3453,1.2643,1.2563,1.1742
1 3/8-6 UNC,3A,0,1.375,1.3568,-,1.2667,1.2607,1.1766
1 3/8-8 UN,2A,0.0022,1.3728,1.3578,1.3503,1.2916,1.2844,1.224
1 3/8-8 UN,3A,0,1.375,1.36,-,1.2938,1.2884,1.2262
1 3/8-10 UNS,2A,0.0019,1.3731,1.3602,-,1.3081,1.3018,1.2541
1 3/8-12 UNF,1A,0.0019,1.3731,1.3559,-,1.319,1.3096,1.2739
1 3/8-12 UNF,2A,0.0019,1.3731,1.3617,-,1.319,1.3127,1.2739
1 3/8-12 UNF,3A,0,1.375,1.3636,-,1.3209,1.3162,1.2758
1 3/8-14 UNS,2A,0.0016,1.3734,1.3631,-,1.327,1.3216,1.2884
1 3/8-16 UN,2A,0.0015,1.3735,1.3641,-,1.3329,1.3278,1.299
1 3/8-16 UN,3A,0,1.375,1.3656,-,1.3344,1.3306,1.3005
1 3/8-18 UNEF,2A,0.0015,1.3735,1.3648,-,1.3374,1.3325,1.3074
1 3/8-18 UNEF,3A,0,1.375,1.3663,-,1.3389,1.3353,1.3089
1 3/8-20 UN,2A,0.0014,1.3736,1.3655,-,1.3411,1.3364,1.3141
1 3/8-20 UN,3A,0,1.375,1.3669,-,1.3425,1.339,1.3155
1 3/8-24 UNS,2A,0.0013,1.3737,1.3665,-,1.3466,1.3423,1.3241
1 3/8-28 UN,2A,0.0012,1.3738,1.3673,-,1.3506,1.3465,1.3312
1 3/8-28 UN,3A,0,1.375,1.3685,-,1.3518,1.3487,1.3324
1 7/16-6 UN,2A,0.0024,1.4351,1.4169,-,1.3268,1.3188,1.2367
1 7/16-6 UN,3A,0,1.4375,1.4193,-,1.3292,1.3232,1.2391
1 7/16-8 UN,2A,0.0022,1.4353,1.4203,-,1.3541,1.3469,1.2865
1 7/16-8 UN,3A,0,1.4375,1.4225,-,1.3563,1.3509,1.2887
1 7/16-12 UN,2A,0.0018,1.4357,1.4243,-,1.3816,1.3757,1.3365
1 7/16-12 UN,3A,0,1.4375,1.4261,-,1.3834,1.379,1.3383
1 7/16-16 UN,2A,0.0016,1.4359,1.4265,-,1.3953,1.3901,1.3614
1 7/16-16 UN,3A,0,1.4375,1.4281,-,1.3969,1.393,1.363
1 7/16-18 UNEF,2A,0.0015,1.436,1.4273,-,1.3999,1.3949,1.3699
1 7/16-18 UNEF,3A,0,1.4375,1.4288,-,1.4014,1.3977,1.3714
1 7/16-20 UN,2A,0.0014,1.4361,1.428,-,1.4036,1.3988,1.3766
1 7/16-20 UN,3A,0,1.4375,1.4294,-,1.405,1.4014,1.378
1 7/16-28 UN,2A,0.0013,1.4362,1.4297,-,1.413,1.4088,1.3936
1 7/16-28 UN,3A,0,1.4375,1.431,-,1.4143,1.4112,1.3949
1 1/2-6 UNC,1A,0.0024,1.4976,1.4703,-,1.3893,1.3772,1.2992
1 1/2-6 UNC,2A,0.0024,1.4976,1.4794,1.4703,1.3893,1.3812,1.2992
1 1/2-6 UNC,3A,0,1.5,1.4818,-,1.3917,1.3856,1.3016
1 1/2-8 UN,2A,0.0022,1.4978,1.4828,1.4753,1.4166,1.4093,1.349
1 1/2-8 UN,3A,0,1.5,1.485,-,1.4188,1.4133,1.3512
1 1/2-10 UNS,2A,0.0019,1.4981,1.4852,-,1.4331,1.4267,1.3791
1 1/2-12 UNF,1A,0.0019,1.4981,1.4809,-,1.444,1.4344,1.3989
1 1/2-12 UNF,2A,0.0019,1.4981,1.4867,-,1.444,1.4376,1.3989
1 1/2-12 UNF,3A,0,1.5,1.4886,-,1.4459,1.4411,1.4008
1 1/2-14 UNS,2A,0.0017,1.4983,1.488,-,1.4519,1.4464,1.4133
1 1/2-16 UN,2A,0.0016,1.4984,1.489,-,1.4578,1.4526,1.4239
1 1/2-16 UN,3A,0,1.5,1.4906,-,1.4594,1.4555,1.4255
1 1/2-18 UNEF,2A,0.0015,1.4985,1.4898,-,1.4624,1.4574,1.4324
1 1/2-18 UNEF,3A,0,1.5,1.4913,-,1.4639,1.4602,1.4339
1 1/2-20 UN,2A,0.0014,1.4986,1.4905,-,1.4661,1.4613,1.4391
1 1/2-20 UN,3A,0,1.5,1.4919,-,1.4675,1.4639,1.4405
1 1/2-24 UNS,2A,0.0013,1.4987,1.4915,-,1.4716,1.4672,1.4991
1 1/2-28 UN,2A,0.0013,1.4987,1.4922,-,1.4755,1.4713,1.4561
1 1/2-28 UN,3A,0,1.5,1.4935,-,1.4768,1.4737,1.4574
1 9/16-6 UN,2A,0.0024,1.5601,1.5419,-,1.4518,1.4436,1.3617
1 9/16-6 UN,3A,0,1.5625,1.5443,-,1.4542,1.4481,1.3641
1 9/16-8 UN,2A,0.0022,1.5603,1.5453,-,1.4791,1.4717,1.4115
1 9/16-8 UN,3A,0,1.5625,1.5475,-,1.4813,1.4758,1.4137
1 9/16-12 UN,2A,0.0018,1.5607,1.5493,-,1.5066,1.5007,1.4615
1 9/16-12 UN,3A,0,1.5625,1.5511,-,1.5084,1.504,1.4633
1 9/16-16 UN,2A,0.0016,1.5609,1.5515,-,1.5203,1.5151,1.4864
1 9/16-16 UN,3A,0,1.5625,1.5531,-,1.5219,1.518,1.488
1 9/16-18 UNEF,2A,0.0015,1.561,1.5523,-,1.5249,1.5199,1.4949
1 9/16-18 UNEF,3A,0,1.5625,1.5538,-,1.5264,1.5227,1.4964
1 9/16-20 UN,2A,0.0014,1.5611,1.553,-,1.5286,1.5238,1.5016
1 9/16-20 UN,3A,0,1.5625,1.5544,-,1.53,1.5264,1.503
1 5/8-6 UN,2A,0.0025,1.6225,1.6043,-,1.5142,1.506,1.4246
1 5/8-6 UN,3A,0,1.625,1.6068,-,1.5167,1.5105,1.4271
1 5/8-8 UN,2A,0.0022,1.6228,1.6078,1.6003,1.5416,1.5342,1.4784
1 5/8-8 UN,3A,0,1.625,1.61,-,1.5438,1.5382,1.4806
1 5/8-10 UNS,2A,0.0019,1.6231,1.6102,-,1.5581,1.5517,1.5041
1 5/8-12 UN,2A,0.0018,1.6232,1.6118,-,1.5691,1.5632,1.524
1 5/8-12 UN,3A,0,1.625,1.6136,-,1.5709,1.5665,1.5258
1 5/8-14 UNS,2A,0.0017,1.6233,1.613,-,1.5769,1.5714,1.5383
1 5/8-16 UN,2A,0.0016,1.6234,1.614,-,1.5828,1.5776,1.5489
1 5/8-16 UN,3A,0,1.625,1.6156,-,1.5844,1.5805,1.5505
1 5/8-18 UNEF,2A,0.0015,1.6235,1.6148,-,1.5874,1.5824,1.5574
1 5/8-18 UNEF,3A,0,1.625,1.6163,-,1.5889,1.5852,1.5589
1 5/8-20 UN,2A,0.0014,1.6236,1.6155,-,1.5911,1.5863,1.5641
1 5/8-20 UN,3A,0,1.625,1.6169,-,1.5925,1.5889,1.5655
1 5/8-24 UNS,2A,0.0013,1.6237,1.6165,-,1.5966,1.5922,1.5741
1 11/16-6 UN,2A,0.0025,1.685,1.6668,-,1.5767,1.5684,1.4866
1 11/16-6 UN,3A,0,1.6875,1.6693,-,1.5792,1.573,1.4891
1 11/16-8 UN,2A,0.0022,1.6853,1.6703,-,1.6041,1.5966,1.5365
1 11/16-8 UN,3A,0,1.6875,1.6725,-,1.6063,1.6007,1.5387
1 11/16-12 UN,2A,0.0018,1.6857,1.6743,-,1.6316,1.6256,1.5865
1 11/16-12 UN,3A,0,1.6875,1.6761,-,1.6334,1.6289,1.5883
1 11/16-16 UN,2A,0.0016,1.6859,1.6765,-,1.6453,1.64,1.6114
1 11/16-16 UN,3A,0,1.6875,1.6781,-,1.6469,1.6429,1.613
1 11/16-18 UNEF,2A,0.0015,1.686,1.6773,-,1.6499,1.6448,1.6199
1 11/16-18 UNEF,3A,0,1.6875,1.6788,-,1.6514,1.6476,1.6214
1 11/16-20 UN,2A,0.0015,1.686,1.6779,-,1.6535,1.6487,1.6265
1 11/16-20 UN,3A,0,1.6875,1.6794,-,1.655,1.6514,1.628
1 3/4-5 UNC,1A,0.0027,1.7473,1.7165,-,1.6174,1.604,1.5092
1 3/4-5 UNC,2A,0.0027,1.7473,1.7268,1.7165,1.6174,1.6085,1.5092
1 3/4-5 UNC,3A,0,1.75,1.7295,-,1.6201,1.6134,1.5119
1 3/4-6 UN,2A,0.0025,1.7475,1.7293,-,1.6392,1.6309,1.5491
1 3/4-6 UN,3A,0,1.75,1.7318,-,1.6417,1.6354,1.5516
1 3/4-8 UN,2A,0.0023,1.7477,1.7327,1.7252,1.6665,1.659,1.5989
1 3/4-8 UN,3A,0,1.75,1.735,-,1.6688,1.6632,1.6012
1 3/4-10 UNS,2A,0.0019,1.7481,1.7352,-,1.6831,1.6766,1.6291
1 3/4-12 UN,2A,0.0018,1.7482,1.7368,-,1.6941,1.6881,1.649
1 3/4-12 UN,3A,0,1.75,1.7386,-,1.6959,1.6914,1.6508
1 3/4-14 UNS,2A,0.0017,1.7483,1.738,-,1.7019,1.6963,1.6632
1 3/4-16 UN,2A,0.0016,1.7484,1.739,-,1.7078,1.7025,1.6739
1 3/4-16 UN,3A,0,1.75,1.7406,-,1.7094,1.7054,1.6755
1 3/4-18 UNS,2A,0.0015,1.7485,1.7398,-,1.7124,1.7073,1.6824
1 3/4-20 UN,2A,0.0015,1.7485,1.7404,-,1.716,1.7112,1.689
1 3/4-20 UN,3A,0,1.75,1.7419,-,1.7175,1.7139,1.6905
1 13/16-6 UN,2A,0.0025,1.81,1.7918,-,1.7017,1.6933,1.6116
1 13/16-6 UN,3A,0,1.8125,1.7943,-,1.7042,1.6979,1.6141
1 13/16-8 UN,2A,0.0023,1.8102,1.7952,-,1.729,1.7214,1.6614
1 13/16-8 UN,3A,0,1.8125,1.7975,-,1.7313,1.7256,1.6637
1 13/16-12 UN,2A,0.0018,1.8107,1.7993,-,1.7566,1.7506,1.7115
1 13/16-12 UN,3A,0,1.8125,1.8011,-,1.7584,1.7539,1.7133
1 13/16-16 UN,2A,0.0016,1.8109,1.8015,-,1.7703,1.765,1.7364
1 13/16-16 UN,3A,0,1.8125,1.8031,-,1.7719,1.7679,1.738
1 13/16-20 UN,2A,0.0015,1.811,1.8029,-,1.7785,1.7737,1.7515
1 13/16-20 UN,3A,0,1.8125,1.8044,-,1.78,1.7764,1.753
1 7/8-6 UN,2A,0.0025,1.8725,1.8543,-,1.7642,1.7558,1.6741
1 7/8-6 UN,3A,0,1.875,1.8568,-,1.7667,1.7604,1.6766
1 7/8-8 UN,2A,0.0023,1.8727,1.8577,1.8502,1.7915,1.7838,1.7239
1 7/8-8 UN,3A,0,1.875,1.86,-,1.7938,1.7881,1.7262
1 7/8-10 UNS,2A,0.0019,1.8731,1.8602,-,1.8081,1.8016,1.7541
1 7/8-12 UN,2A,0.0018,1.8732,1.8618,-,1.8191,1.8131,1.774
1 7/8-12 UN,3A,0,1.875,1.8636,-,1.8209,1.8164,1.7758
1 7/8-14 UNS,2A,0.0017,1.8733,1.863,-,1.8269,1.8213,1.7883
1 7/8-16 UN,2A,0.0016,1.8734,1.864,-,1.8328,1.8275,1.7989
1 7/8-16 UN,3A,0,1.875,1.8656,-,1.8344,1.8304,1.8005
1 7/8-18 UNS,2A,0.0015,1.8735,1.8648,-,1.8374,1.8323,1.8074
1 7/8-20 UN,2A,0.0015,1.8735,1.8654,-,1.841,1.8362,1.814
1 7/8-20 UN,3A,0,1.875,1.8669,-,1.8425,1.8389,1.8155
1 15/16-6 UN,2A,0.0026,1.9349,1.9167,-,1.8266,1.8181,1.7365
1 15/16-6 UN,3A,0,1.9375,1.9193,-,1.8292,1.8228,1.7391
1 15/16-8 UN,2A,0.0023,1.9352,1.9202,-,1.854,1.8463,1.7864
1 15/16-8 UN,3A,0,1.9375,1.9225,-,1.8563,1.8505,1.7887
1 15/16-12 UN,2A,0.0018,1.9357,1.9243,-,1.8816,1.8755,1.8365
1 15/16-12 UN,3A,0,1.9375,1.9261,-,1.8834,1.8789,1.8383
1 15/16-16 UN,2A,0.0016,1.9359,1.9265,-,1.8953,1.8899,1.8614
1 15/16-16 UN,3A,0,1.9375,1.9281,-,1.8969,1.8929,1.863
1 15/16-20 UN,2A,0.0015,1.936,1.9279,-,1.9035,1.8986,1.8765
1 15/16-20 UN,3A,0,1.9375,1.9294,-,1.905,1.9013,1.878
2-4 1/2 UNC,1A,0.0029,1.9971,1.9641,-,1.8528,1.8385,1.7324
2-4 1/2 UNC,2A,0.0029,1.9971,1.9751,1.9641,1.8528,1.8433,1.7324
2-4 1/2 UNC,3A,0,2,1.978,-,1.8557,1.8486,1.7353
2-6 UN,2A,0.0026,1.9974,1.9792,-,1.8891,1.8805,1.799
2-6 UN,3A,0,2,1.9818,-,1.8917,1.8853,1.8016
2-8 UN,2A,0.0023,1.9977,1.9827,1.9752,1.9165,1.9087,1.8489
2-8 UN,3A,0,2,1.985,-,1.9188,1.913,1.8512
2-10 UNS,2A,0.002,1.998,1.9851,-,1.933,1.9265,1.879
2-12 UN,2A,0.0018,1.9982,1.9868,-,1.9441,1.938,1.899
2-12 UN,3A,0,2,1.9886,-,1.9459,1.9414,1.9008
2-14 UNS,2A,0.0017,1.9983,1.988,-,1.9519,1.9462,1.9133
2-16 UN,2A,0.0016,1.9984,1.989,-,1.9578,1.9524,1.9239
2-16 UN,3A,0,2,1.9906,-,1.9594,1.9554,1.9255
2-18 UNS,2A,0.0015,1.9985,1.9898,-,1.9624,1.9573,1.9324
2-20 UN,2A,0.0015,1.9985,1.9904,-,1.966,1.9611,1.939
2-20 UN,3A,0,2,1.9919,-,1.9675,1.9638,1.9405
2 1/16-16 UNS,2A,0.0016,2.0609,2.0515,-,2.0203,2.0149,1.9864
2 1/16-16 UNS,3A,0,2.0625,2.0531,-,2.0219,2.0179,1.988
2 1/8-6 UN,2A,0.0026,2.1224,2.1042,-,2.0141,2.0054,1.924
2 1/8-6 UN,3A,0,2.125,2.1068,-,2.0167,2.0102,1.9266
2 1/8-8 UN,2A,0.0024,2.1226,2.1076,2.1001,2.0414,2.0335,1.9738
2 1/8-8 UN,3A,0,2.125,2.11,-,2.0438,2.0379,1.9762
2 1/8-12 UN,2A,0.0018,2.1232,2.1118,-,2.0691,2.063,2.024
2 1/8-12 UN,3A,0,2.125,2.1136,-,2.0709,2.0664,2.0258
2 1/8-16 UN,2A,0.0016,2.1234,2.114,-,2.0828,2.0774,2.0489
2 1/8-16 UN,3A,0,2.125,2.1156,-,2.0844,2.0803,2.0505
2 1/8-20 UN,2A,0.0015,2.1235,2.1154,-,2.091,2.0861,2.064
2 1/8-20 UN,3A,0,2.125,2.1169,-,2.0925,2.0888,2.0655
2 3/16-16 UNS,2A,0.0016,2.1859,2.1765,-,2.1453,2.1399,2.1114
2 3/16-16 UNS,3A,0,2.1875,2.1781,-,2.1469,2.1428,2.113
2 1/4-4 1/2 UNC,1A,0.0029,2.2471,2.2141,-,2.1028,2.0882,1.9824
2 1/4-4 1/2 UNC,2A,0.0029,2.2471,2.2251,2.2141,2.1028,2.0931,1.9824
2 1/4-4 1/2 UNC,3A,0,2.25,2.228,-,2.1057,2.0984,1.9853
2 1/4-6 UN,2A,0.0026,2.2474,2.2292,-,2.1391,2.1303,2.049
2 1/4-6 UN,3A,0,2.25,2.2318,-,2.1417,2.1351,2.0516
2 1/4-8 UN,2A,0.0024,2.2476,2.2326,2.2251,2.1664,2.1584,2.0988
2 1/4-8 UN,3A,0,2.25,2.235,-,2.1688,2.1628,2.1012
2 1/4-10 UNS,2A,0.002,2.248,2.2351,-,2.183,2.1765,2.129
2 1/4-12 UN,2A,0.0018,2.2482,2.2368,-,2.1941,2.188,2.149
2 1/4-12 UN,3A,0,2.25,2.2386,-,2.1959,2.1914,2.1508
2 1/4-14 UNS,2A,0.0017,2.2483,2.238,-,2.2019,2.1962,2.1633
2 1/4-16 UN,2A,0.0016,2.2484,2.239,-,2.2078,2.2024,2.1739
2 1/4-16 UN,3A,0,2.25,2.2406,-,2.2094,2.2053,2.1755
2 1/4-18 UNS,2A,0.0015,2.2485,2.2398,-,2.2124,2.2073,2.1824
2 1/4-20 UN,2A,0.0015,2.2485,2.2404,-,2.216,2.2111,2.189
2 1/4-20 UN,3A,0,2.25,2.2419,-,2.2175,2.2137,2.1905
2 5/16-16 UNS,2A,0.0017,2.3108,2.3014,-,2.2702,2.2647,2.2363
2 5/16-16 UNS,3A,0,2.3125,2.3031,-,2.2719,2.2678,2.238
2 3/8-6 UN,2A,0.0027,2.3723,2.3541,-,2.264,2.2551,2.1739
2 3/8-6 UN,3A,0,2.375,2.3568,-,2.2667,2.2601,2.1766
2 3/8-8 UN,2A,0.0024,2.3726,2.3576,-,2.2914,2.2833,2.2238
2 3/8-8 UN,3A,0,2.375,2.36,-,2.2938,2.2878,2.2262
2 3/8-12 UN,2A,0.0019,2.3731,2.3617,-,2.319,2.3128,2.2739
2 3/8-12 UN,3A,0,2.375,2.3636,-,2.3209,2.3163,2.2758
2 3/8-16 UN,2A,0.0017,2.3733,2.3639,-,2.3327,2.3272,2.2988
2 3/8-16 UN,3A,0,2.375,2.3656,-,2.3344,2.3303,2.3005
2 3/8-20 UN,2A,0.0015,2.3735,2.3654,-,2.341,2.3359,2.314
2 3/8-20 UN,3A,0,2.375,2.3669,-,2.3425,2.3387,2.3155
2 7/16-16 UNS,2A,0.0017,2.4358,2.4264,-,2.3952,2.3897,2.3613
2 7/16-16 UNS,3A,0,2.4375,2.4281,-,2.3969,2.3928,2.363
2 1/2-4 UNC,1A,0.0031,2.4969,2.4612,-,2.3345,2.319,2.1992
2 1/2-4 UNC,2A,0.0031,2.4969,2.4731,2.4612,2.3345,2.3241,2.1992
2 1/2-4 UNC,3A,0,2.5,2.4762,-,2.3376,2.3298,2.2023
2 1/2-6 UN,2A,0.0027,2.4973,2.4791,-,2.389,2.38,2.2989
2 1/2-6 UN,3A,0,2.5,2.4818,-,2.3917,2.385,2.3016
2 1/2-8 UN,2A,0.0024,2.4976,2.4826,2.4751,2.4164,2.4082,2.3488
2 1/2-8 UN,3A,0,2.5,2.485,-,2.4188,2.4127,2.3512
2 1/2-10 UNS,2A,0.002,2.498,2.4851,-,2.433,2.4263,2.379
2 1/2-12 UN,2A,0.0019,2.4981,2.4867,-,2.444,2.4378,2.3989
2 1/2-12 UN,3A,0,2.5,2.4886,-,2.4459,2.4413,2.4008
2 1/2-14 UNS,2A,0.0017,2.4983,2.488,-,2.4519,2.4461,2.4133
2 1/2-16 UN,2A,0.0017,2.4983,2.4889,-,2.4577,2.4522,2.4238
2 1/2-16 UN,3A,0,2.5,2.4906,-,2.4594,2.4553,2.4255
2 1/2-18 UNS,2A,0.0016,2.4984,2.4897,-,2.4623,2.457,2.4323
2 1/2-20 UN,2A,0.0015,2.4985,2.4904,-,2.466,2.4609,2.439
2 1/2-20 UN,3A,0,2.5,2.4919,-,2.4675,2.4637,2.4405
2 5/8-6 UN,2A,0.0027,2.6223,2.6041,-,2.514,2.505,2.4239
2 5/8-6 UN,3A,0,2.625,2.6068,-,2.5167,2.5099,2.4266
2 5/8-8 UN,2A,0.0025,2.6225,2.6075,-,2.5413,2.5331,2.4737
2 5/8-8 UN,3A,0,2.625,2.61,-,2.5438,2.5376,2.4762
2 5/8-12 UN,2A,0.0019,2.6231,2.6117,-,2.569,2.5628,2.5239
2 5/8-12 UN,3A,0,2.625,2.6136,-,2.5709,2.5663,2.5258
2 5/8-16 UN,2A,0.0017,2.6233,2.6139,-,2.5827,2.5772,2.5488
2 5/8-16 UN,3A,0,2.625,2.6156,-,2.5844,2.5803,2.5505
2 5/8-20 UN,2A,0.0015,2.6235,2.6154,-,2.591,2.5859,2.564
2 5/8-20 UN,3A,0,2.625,2.6169,-,2.5925,2.5887,2.5655
2 3/4-4 UNC,1A,0.0032,2.7468,2.7111,-,2.5844,2.5686,2.4491
2 3/4-4 UNC,2A,0.0032,2.7468,2.723,2.7111,2.5844,2.5739,2.4491
2 3/4-4 UNC,3A,0,2.75,2.7262,-,2.5876,2.5797,2.4523
2 3/4-6 UN,2A,0.0027,2.7473,2.7291,-,2.639,2.6299,2.5489
2 3/4-6 UN,3A,0,2.75,2.7318,-,2.6417,2.6349,2.5516
2 3/4-8 UN,2A,0.0025,2.7475,2.7325,2.725,2.6663,2.658,2.5987
2 3/4-8 UN,3A,0,2.75,2.735,-,2.6688,2.6625,2.6012
2 3/4-10 UNS,2A,0.002,2.748,2.7351,-,2.683,2.6763,2.629
2 3/4-12 UN,2A,0.0019,2.7481,2.7367,-,2.694,2.6878,2.6489
2 3/4-12 UN,3A,0,2.75,2.7386,-,2.6959,2.6913,2.6508
2 3/4-14 UNS,2A,0.0017,2.7483,2.738,-,2.7019,2.6961,2.6633
2 3/4-16 UN,2A,0.0017,2.7483,2.7389,-,2.7077,2.7022,2.6738
2 3/4-16 UN,3A,0,2.75,2.7406,-,2.7094,2.7053,2.6755
2 3/4-18 UNS,2A,0.0016,2.7484,2.7397,-,2.7123,2.707,2.6832
2 3/4-20 UN,2A,0.0015,2.7485,2.7404,-,2.716,2.7109,2.689
2 3/4-20 UN,3A,0,2.75,2.7419,-,2.7175,2.7137,2.6905
2 7/8-6 UN,2A,0.0028,2.8722,2.854,-,2.7639,2.7547,2.6738
2 7/8-6 UN,3A,0,2.875,2.8568,-,2.7667,2.7598,2.6766
2 7/8-8 UN,2A,0.0025,2.8725,2.8575,-,2.7913,2.7829,2.7237
2 7/8-8 UN,3A,0,2.875,2.86,-,2.7938,2.7875,2.7262
2 7/8-12 UN,2A,0.0019,2.8731,2.8617,-,2.819,2.8127,2.7739
2 7/8-12 UN,3A,0,2.875,2.8636,-,2.8209,2.8162,2.7758
2 7/8-16 UN,2A,0.0017,2.8733,2.8639,-,2.8327,2.8271,2.7988
2 7/8-16 UN,3A,0,2.875,2.8656,-,2.8344,2.8302,2.8005
2 7/8-20 UN,2A,0.0016,2.8734,2.8653,-,2.8409,2.8357,2.8139
2 7/8-20 UN,3A,0,2.875,2.8669,-,2.8425,2.8386,2.8155
3-4 UNC,1A,0.0032,2.9968,2.9611,-,2.8344,2.8183,2.6991
3-4 UNC,2A,0.0032,2.9968,2.973,2.9611,2.8344,2.8237,2.6991
3-4 UNC,3A,0,3,2.9762,-,2.8376,2.8296,2.7023
3-6 UN,2A,0.0028,2.9972,2.979,-,2.8889,2.8796,2.7988
3-6 UN,3A,0,3,2.9818,-,2.8917,2.8847,2.8016
3-8 UN,2A,0.0026,2.9974,2.9824,2.9749,2.9162,2.9077,2.8486
3-8 UN,3A,0,3,2.985,-,2.9188,2.9124,2.8512
3-10 UNS,2A,0.002,2.998,2.9851,-,2.933,2.9262,2.879
3-12 UN,2A,0.0019,2.9981,2.9867,-,2.944,2.9377,2.8989
3-12 UN,3A,0,3,2.9886,-,2.9459,2.9412,2.9008
3-14 UNS,2A,0.0018,2.9982,2.9879,-,2.9518,2.9459,2.9132
3-16 UN,2A,0.0017,2.9983,2.9889,-,2.9577,2.9521,2.9238
3-16 UN,3A,0,3,2.9906,-,2.9594,2.9552,2.9255
3-18 UNS,2A,0.0016,2.9984,2.9897,-,2.9623,2.9569,2.9323
3-20 UN,2A,0.0016,2.9984,2.9903,-,2.9659,2.9607,2.9389
3-20 UN,3A,0,3,2.9919,-,2.9675,2.9636,2.9405
3 1/8-6 UN,2A,0.0028,3.1222,3.104,-,3.0139,3.0045,2.9238
3 1/8-6 UN,3A,0,3.125,3.1068,-,3.0167,3.0097,2.9266
3 1/8-8 UN,2A,0.0026,3.1224,3.1074,-,3.0412,3.0326,2.9736
3 1/8-8 UN,3A,0,3.125,3.11,-,3.0438,3.0374,2.9762
3 1/8-12 UN,2A,0.0019,3.1231,3.1117,-,3.069,3.0627,3.0239
3 1/8-12 UN,3A,0,3.125,3.1136,-,3.0709,3.0662,3.0258
3 1/8-16 UN,2A,0.0017,3.1233,3.1139,-,3.0827,3.0771,3.0488
3 1/8-16 UN,3A,0,3.125,3.1156,-,3.0844,3.0802,3.0505
3 1/4-4 UNC,1A,0.0033,3.2467,3.211,-,3.0843,3.068,2.949
3 1/4-4 UNC,2A,0.0033,3.2467,3.2229,3.211,3.0843,3.0734,2.949
3 1/4-4 UNC,3A,0,3.25,3.2262,-,3.0876,3.0794,2.9523
3 1/4-6 UN,2A,0.0028,3.2472,3.229,-,3.1389,3.1294,3.0488
3 1/4-6 UN,3A,0,3.25,3.2318,-,3.1417,3.1346,3.0516
3 1/4-8 UN,2A,0.0026,3.2474,3.2324,3.2249,3.1662,3.1575,3.0986
3 1/4-8 UN,3A,0,3.25,3.235,-,3.1688,3.1623,3.1012
3 1/4-10 UNS,2A,0.002,3.248,3.2351,-,3.183,3.1762,3.129
3 1/4-12 UN,2A,0.0019,3.2481,3.2367,-,3.194,3.1877,3.1489
3 1/4-12 UN,3A,0,3.25,3.2386,-,3.1959,3.1912,3.1508
3 1/4-14 UNS,2A,0.0018,3.2482,3.2379,-,3.2018,3.1959,3.1632
3 1/4-16 UN,2A,0.0017,3.2483,3.2389,-,3.2077,3.2021,3.1738
3 1/4-16 UN,3A,0,3.25,3.2406,-,3.2094,3.2052,3.1755
3 1/4-18 UNS,2A,0.0016,3.2484,3.2397,-,3.2123,3.2069,3.1823
3 3/8-6 UN,2A,0.0029,3.3721,3.3539,-,3.2638,3.2543,3.1737
3 3/8-6 UN,3A,0,3.375,3.3568,-,3.2667,3.2595,3.1766
3 3/8-8 UN,2A,0.0026,3.3724,3.3574,-,3.2912,3.2824,3.2236
3 3/8-8 UN,3A,0,3.375,3.36,-,3.2938,3.2872,3.2262
3 3/8-12 UN,2A,0.0019,3.3731,3.3617,-,3.319,3.3126,3.2739
3 3/8-12 UN,3A,0,3.375,3.3636,-,3.3209,3.3161,3.2758
3 3/8-16 UN,2A,0.0017,3.3733,3.3639,-,3.3327,3.3269,3.2988
3 3/8-16 UN,3A,0,3.375,3.3656,-,3.3344,3.3301,3.3005
3 1/2-4 UNC,1A,0.0033,3.4967,3.461,-,3.3343,3.3177,3.199
3 1/2-4 UNC,2A,0.0033,3.4967,3.4729,3.461,3.3343,3.3233,3.199
3 1/2-4 UNC,3A,0,3.5,3.4762,-,3.3376,3.3293,3.2023
3 1/2-6 UN,2A,0.0029,3.4971,3.4789,-,3.3888,3.3792,3.2987
3 1/2-6 UN,3A,0,3.5,3.4818,-,3.3917,3.3845,3.3016
3 1/2-8 UN,2A,0.0026,3.4974,3.4824,3.4749,3.4162,3.4074,3.3486
3 1/2-8 UN,3A,0,3.5,3.485,-,3.4188,3.4122,3.3512
3 1/2-10 UNS,2A,0.0021,3.4979,3.485,-,3.4329,3.426,3.3789
3 1/2-12 UN,2A,0.0019,3.4981,3.4867,-,3.444,3.4376,3.3989
